Station,AirQuality,Longitude,Latitude,NO2 Hour,NO2 Quality,NO2 Value,Month,day
Barcelona - Poblenou,Good,2.2045,41.4039,6,Good,22,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,6,Good,2,1,11
Barcelona - Sants,Good,2.1331,41.3788,7,Good,25,1,11
Barcelona - Eixample,Good,2.1538,41.3853,7,Good,42,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,7,Good,21,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,7,Good,21,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,7,Good,26,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,7,Good,34,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,7,Good,22,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,7,Good,2,1,11
Barcelona - Sants,Good,2.1331,41.3788,8,Good,45,1,11
Barcelona - Eixample,Good,2.1538,41.3853,8,Good,52,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,8,Good,43,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,8,Good,34,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,8,Good,59,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,8,Good,36,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,8,Good,31,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,8,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,9,Good,35,1,11
Barcelona - Eixample,Good,2.1538,41.3853,9,Good,60,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,9,Good,49,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,9,Good,34,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,9,Good,51,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,9,Good,15,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,9,Good,37,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,9,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,10,Good,23,1,11
Barcelona - Eixample,Good,2.1538,41.3853,10,Good,64,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,10,Good,33,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,10,Good,25,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,10,Good,15,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,10,Good,11,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,10,Good,28,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,10,Good,7,1,11
Barcelona - Sants,Good,2.1331,41.3788,11,Good,31,1,11
Barcelona - Eixample,Good,2.1538,41.3853,11,Good,50,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,11,Good,37,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,11,Good,21,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,11,Good,13,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,11,Good,19,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,11,Good,29,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,11,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,12,Good,14,1,11
Barcelona - Eixample,Good,2.1538,41.3853,12,Good,35,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,12,Good,21,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,12,Good,16,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,12,Good,15,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,12,Good,5,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,12,Good,20,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,12,Good,5,1,11
Barcelona - Sants,Good,2.1331,41.3788,13,Good,9,1,11
Barcelona - Eixample,Good,2.1538,41.3853,13,Good,26,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,13,Good,14,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,13,Good,11,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,13,Good,10,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,13,Good,1,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,13,Good,14,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,13,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,14,Good,10,1,11
Barcelona - Eixample,Good,2.1538,41.3853,14,Good,33,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,14,Good,14,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,14,Good,10,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,14,Good,9,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,14,Good,2,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,14,Good,17,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,14,Good,4,1,11
Barcelona - Sants,Good,2.1331,41.3788,15,Good,9,1,11
Barcelona - Eixample,Good,2.1538,41.3853,15,Good,31,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,15,Good,12,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,15,Good,11,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,15,Good,8,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,15,Good,2,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,15,Good,14,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,15,Good,4,1,11
Barcelona - Sants,Good,2.1331,41.3788,16,Good,9,1,11
Barcelona - Eixample,Good,2.1538,41.3853,16,Good,33,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,16,Good,16,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,16,Good,10,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,16,Good,9,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,16,Good,3,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,16,Good,14,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,16,Good,3,1,11
Barcelona - Sants,Good,2.1331,41.3788,17,Good,14,1,11
Barcelona - Eixample,Good,2.1538,41.3853,17,Good,37,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,17,Good,21,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,17,Good,16,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,17,Good,15,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,17,Good,3,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,17,Good,18,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,17,Good,5,1,11
Barcelona - Sants,Good,2.1331,41.3788,18,Good,29,1,11
Barcelona - Eixample,Good,2.1538,41.3853,17,Good,37,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,18,Good,28,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,18,Good,16,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,18,Good,58,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,18,Good,23,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,18,Good,19,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,18,Good,20,1,11
Barcelona - Sants,Good,2.1331,41.3788,19,Good,35,1,11
Barcelona - Eixample,Good,2.1538,41.3853,18,--,,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,19,Good,37,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,19,Good,23,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,19,Good,72,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,19,Good,40,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,19,Good,33,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,19,Good,15,1,11
Barcelona - Sants,Good,2.1331,41.3788,20,Good,66,1,11
Barcelona - Eixample,Good,2.1538,41.3853,19,--,,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,20,Good,67,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,20,Good,31,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,20,Good,73,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,20,Good,31,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,20,Good,56,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,20,Good,13,1,11
Barcelona - Sants,Good,2.1331,41.3788,21,Good,73,1,11
Barcelona - Eixample,Good,2.1538,41.3853,19,--,,1,11
Barcelona - Gràcia,Good,2.1534,41.3987,21,Good,70,1,11
Barcelona - Ciutadella,Good,2.1874,41.3864,21,Good,69,1,11
Barcelona - Vall Hebron,Good,2.148,41.4261,21,Good,66,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,21,Good,38,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,21,Good,73,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,21,Good,4,1,11
Barcelona - Sants,--,2.1331,41.3788,,,,1,11
Barcelona - Eixample,Good,2.1538,41.3853,,,,1,11
Barcelona - Gràcia,--,2.1534,41.3987,,,,1,11
Barcelona - Ciutadella,--,2.1874,41.3864,,,,1,11
Barcelona - Vall Hebron,--,2.148,41.4261,,,,1,11
Barcelona - Palau Reial,Good,2.1151,41.3875,,,,1,11
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,22,Good,13,1,11
Barcelona - Sants,Good,2.1331,41.3788,0,Good,41,2,11
Barcelona - Eixample,Good,2.1538,41.3853,0,Good,52,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,0,Good,42,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0,Good,50,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0,Good,29,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,0,Good,19,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,0,Good,53,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,0,Good,6,2,11
Barcelona - Sants,Good,2.1331,41.3788,0,Good,41,2,11
Barcelona - Eixample,Good,2.1538,41.3853,0,Good,57,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,0,Good,38,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,0,Good,48,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,0,Good,22,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,0,Good,25,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,0,Good,47,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,0,Good,3,2,11
Barcelona - Sants,--,2.1331,41.3788,0,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,1,Good,65,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,1,Good,29,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,1,Good,40,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,1,Good,15,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,1,Good,4,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,1,Good,45,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,1,Good,3,2,11
Barcelona - Sants,--,2.1331,41.3788,1,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,2,Good,48,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,2,Good,24,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,2,Good,24,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,2,Good,9,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,2,Good,2,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,2,Good,41,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,2,Good,2,2,11
Barcelona - Sants,--,2.1331,41.3788,1,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,3,Good,52,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,3,Good,25,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,3,Good,20,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,3,Good,14,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,3,Good,6,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,3,Good,33,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,3,Good,2,2,11
Barcelona - Sants,--,2.1331,41.3788,3,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,4,Good,52,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,4,Good,33,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,4,Good,28,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,4,Good,31,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,4,Good,11,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,4,Good,26,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,4,Good,1,2,11
Barcelona - Sants,--,2.1331,41.3788,4,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,5,Good,48,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,5,Good,37,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,5,Good,32,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,5,Good,53,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,5,Good,10,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,5,Good,27,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,5,Good,1,2,11
Barcelona - Sants,--,2.1331,41.3788,5,--,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,6,Good,30,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,6,Good,40,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,6,Good,34,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,6,Good,39,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,6,Good,11,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,6,Good,29,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,6,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,7,Good,38,2,11
Barcelona - Eixample,Good,2.1538,41.3853,7,Good,52,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,7,Good,64,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,7,Good,46,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,7,Good,53,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,7,Good,17,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,7,Good,35,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,7,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,8,Good,43,2,11
Barcelona - Eixample,Good,2.1538,41.3853,8,Good,52,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,8,Good,65,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,8,Good,50,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,8,Good,50,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,8,Good,31,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,8,Good,39,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,8,Good,2,2,11
Barcelona - Sants,Good,2.1331,41.3788,9,Good,45,2,11
Barcelona - Eixample,Good,2.1538,41.3853,9,Good,60,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,9,Good,70,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,9,Good,59,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,9,Good,51,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,9,Good,27,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,9,Good,40,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,9,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,10,Good,40,2,11
Barcelona - Eixample,Good,2.1538,41.3853,10,Good,61,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,10,Good,65,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,10,Good,54,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,10,Good,42,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,10,Good,28,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,10,Good,39,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,10,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,11,Good,39,2,11
Barcelona - Eixample,Good,2.1538,41.3853,11,Good,76,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,11,Good,57,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,11,Good,48,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,11,Good,25,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,11,Good,24,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,11,Good,39,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,11,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,11,Good,39,2,11
Barcelona - Eixample,Good,2.1538,41.3853,11,Good,76,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,11,Good,57,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,11,Good,48,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,11,Good,25,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,11,Good,24,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,11,Good,39,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,11,Good,1,2,11
Barcelona - Sants,Good,2.1331,41.3788,13,Good,19,2,11
Barcelona - Eixample,Good,2.1538,41.3853,13,Good,47,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,13,Good,37,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,13,Good,29,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,13,Good,15,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,13,Good,5,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,13,Good,43,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,13,Good,4,2,11
Barcelona - Sants,Good,2.1331,41.3788,14,Good,15,2,11
Barcelona - Eixample,Good,2.1538,41.3853,14,Good,36,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,14,Good,31,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,14,Good,31,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,14,Good,14,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,14,Good,5,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,14,Good,41,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,14,Good,6,2,11
Barcelona - Sants,Good,2.1331,41.3788,15,Good,20,2,11
Barcelona - Eixample,Good,2.1538,41.3853,15,Good,40,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,15,Good,27,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,15,Good,38,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,15,Good,15,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,15,Good,11,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,15,Good,35,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,15,Good,8,2,11
Barcelona - Sants,Good,2.1331,41.3788,16,Good,13,2,11
Barcelona - Eixample,Good,2.1538,41.3853,16,Good,46,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,16,Good,25,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,16,Good,29,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,16,Good,15,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,16,Good,5,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,16,Good,30,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,16,Good,5,2,11
Barcelona - Sants,Good,2.1331,41.3788,17,Good,54,2,11
Barcelona - Eixample,Good,2.1538,41.3853,17,Good,76,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,17,Good,56,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,17,Good,18,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,17,Good,25,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,17,Good,33,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,17,Good,35,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,17,Good,18,2,11
Barcelona - Sants,Good,2.1331,41.3788,18,Good,41,2,11
Barcelona - Eixample,Good,2.1538,41.3853,18,Good,79,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,18,Good,63,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,18,Good,30,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,18,Good,52,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,18,Good,43,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,18,Good,55,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,18,Good,60,2,11
Barcelona - Sants,Good,2.1331,41.3788,19,Good,65,2,11
Barcelona - Eixample,Good,2.1538,41.3853,19,Good,89,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,19,Good,75,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,19,Good,61,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,19,Good,84,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,19,Good,76,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,19,Good,88,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,19,Good,35,2,11
Barcelona - Sants,Good,2.1331,41.3788,20,Good,83,2,11
Barcelona - Eixample,Moderate,2.1538,41.3853,20,Moderate,92,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,20,Good,85,2,11
Barcelona - Ciutadella,Good,2.1874,41.3864,19,Good,61,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,20,Good,67,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,20,Good,76,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,20,Good,84,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,20,Good,21,2,11
Barcelona - Sants,Good,2.1331,41.3788,21,Good,75,2,11
Barcelona - Eixample,Good,2.1538,41.3853,21,Good,88,2,11
Barcelona - Gràcia,Good,2.1534,41.3987,21,Good,68,2,11
Barcelona - Ciutadella,--,2.1874,41.3864,20,--,,2,11
Barcelona - Vall Hebron,Good,2.148,41.4261,21,Good,53,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,21,Good,40,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,21,Good,83,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,21,Good,28,2,11
Barcelona - Sants,--,2.1331,41.3788,,,,2,11
Barcelona - Eixample,Good,2.1538,41.3853,,,,2,11
Barcelona - Gràcia,--,2.1534,41.3987,,,,2,11
Barcelona - Ciutadella,--,2.1874,41.3864,,,,2,11
Barcelona - Vall Hebron,--,2.148,41.4261,,,,2,11
Barcelona - Palau Reial,Good,2.1151,41.3875,,,,2,11
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2,11
Barcelona - Observ Fabra,Good,2.1239,41.4183,,,,2,11
Barcelona - Sants,Good,2.1331,41.3788,0,Good,61,3,11
Barcelona - Eixample,Good,2.1538,41.3853,0,Good,76,3,11
